timestep,graph,community,previous_community,score,pcid
22,DiGraph with 1763 nodes and 1537 edges,235,114.0,0.8257,248
20,DiGraph with 900 nodes and 613 edges,254,,1.0,249
20,DiGraph with 900 nodes and 613 edges,255,,1.0,250
20,DiGraph with 900 nodes and 613 edges,256,,1.0,251
20,DiGraph with 900 nodes and 613 edges,257,,1.0,252
20,DiGraph with 900 nodes and 613 edges,258,,1.0,253
21,DiGraph with 641 nodes and 518 edges,132,258.0,0.8533,253
20,DiGraph with 900 nodes and 613 edges,259,,1.0,254
21,DiGraph with 641 nodes and 518 edges,205,259.0,0.7289,254
22,DiGraph with 1763 nodes and 1537 edges,410,205.0,0.7384,254
23,DiGraph with 1187 nodes and 1046 edges,150,410.0,0.9401,254
20,DiGraph with 900 nodes and 613 edges,260,,1.0,255
20,DiGraph with 900 nodes and 613 edges,261,,1.0,256
20,DiGraph with 900 nodes and 613 edges,262,,1.0,257
21,DiGraph with 641 nodes and 518 edges,206,262.0,0.7692,257
22,DiGraph with 1763 nodes and 1537 edges,455,206.0,0.8789,257
23,DiGraph with 1187 nodes and 1046 edges,158,455.0,0.7887,257
24,DiGraph with 1126 nodes and 961 edges,64,158.0,0.833,257
20,DiGraph with 900 nodes and 613 edges,263,,1.0,258
21,DiGraph with 641 nodes and 518 edges,101,263.0,0.9992,258
20,DiGraph with 900 nodes and 613 edges,264,,1.0,259
20,DiGraph with 900 nodes and 613 edges,265,,1.0,260
21,DiGraph with 641 nodes and 518 edges,107,265.0,0.9996,260
20,DiGraph with 900 nodes and 613 edges,266,,1.0,261
21,DiGraph with 641 nodes and 518 edges,133,266.0,0.9668,261
22,DiGraph with 1763 nodes and 1537 edges,523,133.0,0.9225,261
23,DiGraph with 1187 nodes and 1046 edges,205,523.0,0.8449,261
24,DiGraph with 1126 nodes and 961 edges,35,205.0,0.9147,261
20,DiGraph with 900 nodes and 613 edges,267,,1.0,262
21,DiGraph with 641 nodes and 518 edges,145,267.0,0.815,262
22,DiGraph with 1763 nodes and 1537 edges,480,145.0,0.883,262
23,DiGraph with 1187 nodes and 1046 edges,135,480.0,0.8542,262
20,DiGraph with 900 nodes and 613 edges,268,,1.0,263
21,DiGraph with 641 nodes and 518 edges,75,268.0,0.9076,263
22,DiGraph with 1763 nodes and 1537 edges,293,75.0,0.9623,263
20,DiGraph with 900 nodes and 613 edges,269,,1.0,264
21,DiGraph with 641 nodes and 518 edges,28,269.0,0.9961,264
22,DiGraph with 1763 nodes and 1537 edges,363,28.0,0.9986,264
20,DiGraph with 900 nodes and 613 edges,270,,1.0,265
20,DiGraph with 900 nodes and 613 edges,271,,1.0,266
20,DiGraph with 900 nodes and 613 edges,272,,1.0,267
21,DiGraph with 641 nodes and 518 edges,25,272.0,0.9063,267
20,DiGraph with 900 nodes and 613 edges,273,,1.0,268
20,DiGraph with 900 nodes and 613 edges,274,,1.0,269
20,DiGraph with 900 nodes and 613 edges,275,,1.0,270
21,DiGraph with 641 nodes and 518 edges,155,275.0,0.8522,270
22,DiGraph with 1763 nodes and 1537 edges,114,155.0,0.8409,270
20,DiGraph with 900 nodes and 613 edges,276,,1.0,271
20,DiGraph with 900 nodes and 613 edges,277,,1.0,272
21,DiGraph with 641 nodes and 518 edges,219,277.0,0.9008,272
22,DiGraph with 1763 nodes and 1537 edges,458,219.0,0.9316,272
20,DiGraph with 900 nodes and 613 edges,278,,1.0,273
21,DiGraph with 641 nodes and 518 edges,105,278.0,0.9738,273
22,DiGraph with 1763 nodes and 1537 edges,428,105.0,0.904,273
20,DiGraph with 900 nodes and 613 edges,279,,1.0,274
21,DiGraph with 641 nodes and 518 edges,214,279.0,0.9257,274
20,DiGraph with 900 nodes and 613 edges,280,,1.0,275
21,DiGraph with 641 nodes and 518 edges,49,280.0,0.9489,275
20,DiGraph with 900 nodes and 613 edges,281,,1.0,276
21,DiGraph with 641 nodes and 518 edges,55,281.0,0.9235,276
22,DiGraph with 1763 nodes and 1537 edges,215,55.0,0.9849,276
20,DiGraph with 900 nodes and 613 edges,282,,1.0,277
21,DiGraph with 641 nodes and 518 edges,3,282.0,0.8037,277
22,DiGraph with 1763 nodes and 1537 edges,378,3.0,0.8371,277
20,DiGraph with 900 nodes and 613 edges,283,,1.0,278
21,DiGraph with 641 nodes and 518 edges,63,283.0,0.9931,278
22,DiGraph with 1763 nodes and 1537 edges,196,63.0,0.9992,278
20,DiGraph with 900 nodes and 613 edges,284,,1.0,279
20,DiGraph with 900 nodes and 613 edges,285,,1.0,280
21,DiGraph with 641 nodes and 518 edges,93,285.0,0.8665,280
20,DiGraph with 900 nodes and 613 edges,286,,1.0,281
21,DiGraph with 641 nodes and 518 edges,154,286.0,0.9512,281
20,DiGraph with 900 nodes and 613 edges,287,,1.0,282
21,DiGraph with 641 nodes and 518 edges,234,287.0,0.6777,282
22,DiGraph with 1763 nodes and 1537 edges,292,234.0,0.999,282
20,DiGraph with 900 nodes and 613 edges,288,,1.0,283
21,DiGraph with 641 nodes and 518 edges,183,288.0,0.9115,283
22,DiGraph with 1763 nodes and 1537 edges,472,183.0,0.9374,283
23,DiGraph with 1187 nodes and 1046 edges,180,472.0,0.9829,283
24,DiGraph with 1126 nodes and 961 edges,224,180.0,0.9818,283
20,DiGraph with 900 nodes and 613 edges,289,,1.0,284
21,DiGraph with 641 nodes and 518 edges,22,289.0,0.9816,284
20,DiGraph with 900 nodes and 613 edges,290,,1.0,285
20,DiGraph with 900 nodes and 613 edges,291,,1.0,286
21,DiGraph with 641 nodes and 518 edges,185,291.0,0.9101,286
22,DiGraph with 1763 nodes and 1537 edges,305,185.0,0.971,286
20,DiGraph with 900 nodes and 613 edges,292,,1.0,287
21,DiGraph with 641 nodes and 518 edges,169,292.0,0.9876,287
22,DiGraph with 1763 nodes and 1537 edges,319,169.0,0.9984,287
20,DiGraph with 900 nodes and 613 edges,293,,1.0,288
21,DiGraph with 641 nodes and 518 edges,156,293.0,0.8133,288
20,DiGraph with 900 nodes and 613 edges,294,,1.0,289
20,DiGraph with 900 nodes and 613 edges,295,,1.0,290
21,DiGraph with 641 nodes and 518 edges,88,295.0,0.9975,290
22,DiGraph with 1763 nodes and 1537 edges,528,88.0,0.999,290
23,DiGraph with 1187 nodes and 1046 edges,119,528.0,0.9928,290
20,DiGraph with 900 nodes and 613 edges,296,,1.0,291
21,DiGraph with 641 nodes and 518 edges,136,296.0,0.9981,291
20,DiGraph with 900 nodes and 613 edges,297,,1.0,292
21,DiGraph with 641 nodes and 518 edges,74,297.0,0.9101,292
22,DiGraph with 1763 nodes and 1537 edges,296,74.0,0.9909,292
20,DiGraph with 900 nodes and 613 edges,298,,1.0,293
21,DiGraph with 641 nodes and 518 edges,200,298.0,0.7484,293
22,DiGraph with 1763 nodes and 1537 edges,185,200.0,0.8256,293
20,DiGraph with 900 nodes and 613 edges,299,,1.0,294
20,DiGraph with 900 nodes and 613 edges,300,,1.0,295
20,DiGraph with 900 nodes and 613 edges,301,,1.0,296
21,DiGraph with 641 nodes and 518 edges,224,301.0,0.958,296
22,DiGraph with 1763 nodes and 1537 edges,423,224.0,0.946,296
20,DiGraph with 900 nodes and 613 edges,302,,1.0,297
20,DiGraph with 900 nodes and 613 edges,303,,1.0,298
21,DiGraph with 641 nodes and 518 edges,222,303.0,0.9402,298
20,DiGraph with 900 nodes and 613 edges,304,,1.0,299
21,DiGraph with 641 nodes and 518 edges,230,304.0,0.6754,299
22,DiGraph with 1763 nodes and 1537 edges,44,230.0,0.973,299
20,DiGraph with 900 nodes and 613 edges,305,,1.0,300
21,DiGraph with 641 nodes and 518 edges,130,305.0,0.9528,300
22,DiGraph with 1763 nodes and 1537 edges,287,130.0,0.9569,300
20,DiGraph with 900 nodes and 613 edges,306,,1.0,301
21,DiGraph with 641 nodes and 518 edges,40,306.0,0.9219,301
22,DiGraph with 1763 nodes and 1537 edges,331,40.0,0.8853,301
20,DiGraph with 900 nodes and 613 edges,307,,1.0,302
21,DiGraph with 641 nodes and 518 edges,120,307.0,0.9002,302
20,DiGraph with 900 nodes and 613 edges,308,,1.0,303
21,DiGraph with 641 nodes and 518 edges,209,308.0,0.8132,303
22,DiGraph with 1763 nodes and 1537 edges,490,209.0,0.916,303
23,DiGraph with 1187 nodes and 1046 edges,190,490.0,0.8831,303
24,DiGraph with 1126 nodes and 961 edges,184,190.0,0.8531,303
20,DiGraph with 900 nodes and 613 edges,309,,1.0,304
21,DiGraph with 641 nodes and 518 edges,201,309.0,0.9672,304
22,DiGraph with 1763 nodes and 1537 edges,350,201.0,0.9251,304
23,DiGraph with 1187 nodes and 1046 edges,78,350.0,0.9303,304
20,DiGraph with 900 nodes and 613 edges,310,,1.0,305
20,DiGraph with 900 nodes and 613 edges,311,,1.0,306
20,DiGraph with 900 nodes and 613 edges,312,,1.0,307
21,DiGraph with 641 nodes and 518 edges,35,312.0,0.9284,307
20,DiGraph with 900 nodes and 613 edges,313,,1.0,308
21,DiGraph with 641 nodes and 518 edges,151,313.0,0.7901,308
20,DiGraph with 900 nodes and 613 edges,314,,1.0,309
21,DiGraph with 641 nodes and 518 edges,191,314.0,0.9734,309
22,DiGraph with 1763 nodes and 1537 edges,468,191.0,0.995,309
20,DiGraph with 900 nodes and 613 edges,315,,1.0,310
21,DiGraph with 641 nodes and 518 edges,135,315.0,0.9578,310
22,DiGraph with 1763 nodes and 1537 edges,336,135.0,0.805,310
20,DiGraph with 900 nodes and 613 edges,316,,1.0,311
21,DiGraph with 641 nodes and 518 edges,2,316.0,0.9503,311
20,DiGraph with 900 nodes and 613 edges,317,,1.0,312
21,DiGraph with 641 nodes and 518 edges,157,317.0,0.9951,312
22,DiGraph with 1763 nodes and 1537 edges,425,157.0,0.9952,312
20,DiGraph with 900 nodes and 613 edges,318,,1.0,313
20,DiGraph with 900 nodes and 613 edges,319,,1.0,314
21,DiGraph with 641 nodes and 518 edges,159,319.0,0.7919,314
22,DiGraph with 1763 nodes and 1537 edges,152,159.0,0.9795,314
23,DiGraph with 1187 nodes and 1046 edges,183,152.0,0.9616,314
24,DiGraph with 1126 nodes and 961 edges,163,183.0,0.9373,314
20,DiGraph with 900 nodes and 613 edges,320,,1.0,315
21,DiGraph with 641 nodes and 518 edges,81,320.0,0.9816,315
20,DiGraph with 900 nodes and 613 edges,321,,1.0,316
21,DiGraph with 641 nodes and 518 edges,168,321.0,0.9984,316
22,DiGraph with 1763 nodes and 1537 edges,449,168.0,0.9994,316
20,DiGraph with 900 nodes and 613 edges,322,,1.0,317
21,DiGraph with 641 nodes and 518 edges,144,322.0,0.8271,317
22,DiGraph with 1763 nodes and 1537 edges,344,144.0,0.7317,317
23,DiGraph with 1187 nodes and 1046 edges,112,344.0,0.9173,317
20,DiGraph with 900 nodes and 613 edges,323,,1.0,318
21,DiGraph with 641 nodes and 518 edges,178,323.0,0.9438,318
22,DiGraph with 1763 nodes and 1537 edges,463,178.0,0.8953,318
20,DiGraph with 900 nodes and 613 edges,324,,1.0,319
21,DiGraph with 641 nodes and 518 edges,72,324.0,0.986,319
22,DiGraph with 1763 nodes and 1537 edges,473,72.0,0.9993,319
20,DiGraph with 900 nodes and 613 edges,325,,1.0,320
21,DiGraph with 641 nodes and 518 edges,186,325.0,0.8899,320
22,DiGraph with 1763 nodes and 1537 edges,262,186.0,0.8893,320
20,DiGraph with 900 nodes and 613 edges,326,,1.0,321
21,DiGraph with 641 nodes and 518 edges,36,326.0,0.92,321
22,DiGraph with 1763 nodes and 1537 edges,244,36.0,0.9487,321
23,DiGraph with 1187 nodes and 1046 edges,45,244.0,0.9294,321
24,DiGraph with 1126 nodes and 961 edges,245,45.0,0.8916,321
20,DiGraph with 900 nodes and 613 edges,64,,1.0,322
21,DiGraph with 641 nodes and 518 edges,124,64.0,0.8306,322
22,DiGraph with 1763 nodes and 1537 edges,437,124.0,0.9381,322
20,DiGraph with 900 nodes and 613 edges,33,,1.0,323
21,DiGraph with 641 nodes and 518 edges,228,33.0,0.9279,323
22,DiGraph with 1763 nodes and 1537 edges,104,228.0,0.9385,323
23,DiGraph with 1187 nodes and 1046 edges,15,104.0,0.8935,323
20,DiGraph with 900 nodes and 613 edges,6,,1.0,324
21,DiGraph with 641 nodes and 518 edges,167,6.0,0.8428,324
20,DiGraph with 900 nodes and 613 edges,42,,1.0,325
21,DiGraph with 641 nodes and 518 edges,80,42.0,0.997,325
22,DiGraph with 1763 nodes and 1537 edges,393,80.0,0.9989,325
20,DiGraph with 900 nodes and 613 edges,74,,1.0,326
21,DiGraph with 641 nodes and 518 edges,211,74.0,0.9132,326
22,DiGraph with 1763 nodes and 1537 edges,516,211.0,0.926,326
21,DiGraph with 641 nodes and 518 edges,1,,1.0,327
21,DiGraph with 641 nodes and 518 edges,4,,1.0,328
21,DiGraph with 641 nodes and 518 edges,7,,1.0,329
21,DiGraph with 641 nodes and 518 edges,79,,1.0,330
22,DiGraph with 1763 nodes and 1537 edges,10,79.0,0.6946,330
23,DiGraph with 1187 nodes and 1046 edges,2,10.0,0.7752,330
21,DiGraph with 641 nodes and 518 edges,13,,1.0,331
22,DiGraph with 1763 nodes and 1537 edges,156,13.0,0.6623,331
21,DiGraph with 641 nodes and 518 edges,16,,1.0,332
22,DiGraph with 1763 nodes and 1537 edges,40,16.0,0.7641,332
21,DiGraph with 641 nodes and 518 edges,20,,1.0,333
22,DiGraph with 1763 nodes and 1537 edges,532,20.0,0.9225,333
23,DiGraph with 1187 nodes and 1046 edges,185,532.0,0.8195,333
24,DiGraph with 1126 nodes and 961 edges,173,185.0,0.8944,333
21,DiGraph with 641 nodes and 518 edges,23,,1.0,334
21,DiGraph with 641 nodes and 518 edges,33,,1.0,335
21,DiGraph with 641 nodes and 518 edges,37,,1.0,336
21,DiGraph with 641 nodes and 518 edges,38,,1.0,337
22,DiGraph with 1763 nodes and 1537 edges,278,38.0,0.9991,337
21,DiGraph with 641 nodes and 518 edges,42,,1.0,338
21,DiGraph with 641 nodes and 518 edges,43,,1.0,339
22,DiGraph with 1763 nodes and 1537 edges,347,43.0,0.8726,339
23,DiGraph with 1187 nodes and 1046 edges,160,347.0,0.7997,339
24,DiGraph with 1126 nodes and 961 edges,214,160.0,0.8983,339
21,DiGraph with 641 nodes and 518 edges,45,,1.0,340
21,DiGraph with 641 nodes and 518 edges,46,,1.0,341
21,DiGraph with 641 nodes and 518 edges,47,,1.0,342
22,DiGraph with 1763 nodes and 1537 edges,379,47.0,0.9244,342
21,DiGraph with 641 nodes and 518 edges,50,,1.0,343
21,DiGraph with 641 nodes and 518 edges,51,,1.0,344
21,DiGraph with 641 nodes and 518 edges,54,,1.0,345
21,DiGraph with 641 nodes and 518 edges,57,,1.0,346
21,DiGraph with 641 nodes and 518 edges,60,,1.0,347
21,DiGraph with 641 nodes and 518 edges,62,,1.0,348
21,DiGraph with 641 nodes and 518 edges,65,,1.0,349
22,DiGraph with 1763 nodes and 1537 edges,161,65.0,0.965,349
21,DiGraph with 641 nodes and 518 edges,66,,1.0,350
21,DiGraph with 641 nodes and 518 edges,77,,1.0,351
21,DiGraph with 641 nodes and 518 edges,78,,1.0,352
21,DiGraph with 641 nodes and 518 edges,82,,1.0,353
22,DiGraph with 1763 nodes and 1537 edges,84,82.0,0.6887,353
21,DiGraph with 641 nodes and 518 edges,83,,1.0,354
21,DiGraph with 641 nodes and 518 edges,90,,1.0,355
21,DiGraph with 641 nodes and 518 edges,97,,1.0,356
22,DiGraph with 1763 nodes and 1537 edges,155,97.0,0.8572,356
23,DiGraph with 1187 nodes and 1046 edges,19,155.0,0.8133,356
24,DiGraph with 1126 nodes and 961 edges,42,19.0,0.8511,356
21,DiGraph with 641 nodes and 518 edges,98,,1.0,357
22,DiGraph with 1763 nodes and 1537 edges,180,98.0,0.6678,357
21,DiGraph with 641 nodes and 518 edges,100,,1.0,358
22,DiGraph with 1763 nodes and 1537 edges,95,100.0,0.9375,358
21,DiGraph with 641 nodes and 518 edges,103,,1.0,359
21,DiGraph with 641 nodes and 518 edges,104,,1.0,360
21,DiGraph with 641 nodes and 518 edges,109,,1.0,361
22,DiGraph with 1763 nodes and 1537 edges,255,109.0,0.7203,361
23,DiGraph with 1187 nodes and 1046 edges,143,255.0,0.7988,361
24,DiGraph with 1126 nodes and 961 edges,94,143.0,0.818,361
21,DiGraph with 641 nodes and 518 edges,110,,1.0,362
21,DiGraph with 641 nodes and 518 edges,111,,1.0,363
21,DiGraph with 641 nodes and 518 edges,112,,1.0,364
21,DiGraph with 641 nodes and 518 edges,116,,1.0,365
21,DiGraph with 641 nodes and 518 edges,118,,1.0,366
22,DiGraph with 1763 nodes and 1537 edges,317,118.0,0.8614,366
21,DiGraph with 641 nodes and 518 edges,121,,1.0,367
21,DiGraph with 641 nodes and 518 edges,122,,1.0,368
21,DiGraph with 641 nodes and 518 edges,125,,1.0,369
22,DiGraph with 1763 nodes and 1537 edges,247,125.0,0.9117,369
21,DiGraph with 641 nodes and 518 edges,127,,1.0,370
22,DiGraph with 1763 nodes and 1537 edges,321,127.0,0.9946,370
21,DiGraph with 641 nodes and 518 edges,128,,1.0,371
21,DiGraph with 641 nodes and 518 edges,137,,1.0,372
21,DiGraph with 641 nodes and 518 edges,138,,1.0,373
21,DiGraph with 641 nodes and 518 edges,141,,1.0,374
22,DiGraph with 1763 nodes and 1537 edges,238,141.0,0.666,374
21,DiGraph with 641 nodes and 518 edges,143,,1.0,375
22,DiGraph with 1763 nodes and 1537 edges,130,143.0,0.971,375
21,DiGraph with 641 nodes and 518 edges,146,,1.0,376
22,DiGraph with 1763 nodes and 1537 edges,280,146.0,0.9947,376
23,DiGraph with 1187 nodes and 1046 edges,145,280.0,0.9984,376
21,DiGraph with 641 nodes and 518 edges,147,,1.0,377
21,DiGraph with 641 nodes and 518 edges,148,,1.0,378
22,DiGraph with 1763 nodes and 1537 edges,502,148.0,0.8946,378
21,DiGraph with 641 nodes and 518 edges,150,,1.0,379
22,DiGraph with 1763 nodes and 1537 edges,149,150.0,0.8043,379
21,DiGraph with 641 nodes and 518 edges,152,,1.0,380
22,DiGraph with 1763 nodes and 1537 edges,494,152.0,0.9712,380
23,DiGraph with 1187 nodes and 1046 edges,52,494.0,0.9991,380
21,DiGraph with 641 nodes and 518 edges,153,,1.0,381
22,DiGraph with 1763 nodes and 1537 edges,131,153.0,0.7599,381
23,DiGraph with 1187 nodes and 1046 edges,189,131.0,0.7818,381
24,DiGraph with 1126 nodes and 961 edges,19,189.0,0.8646,381
21,DiGraph with 641 nodes and 518 edges,158,,1.0,382
22,DiGraph with 1763 nodes and 1537 edges,534,158.0,0.7575,382
23,DiGraph with 1187 nodes and 1046 edges,154,534.0,0.841,382
21,DiGraph with 641 nodes and 518 edges,160,,1.0,383
22,DiGraph with 1763 nodes and 1537 edges,531,160.0,0.9429,383
23,DiGraph with 1187 nodes and 1046 edges,34,531.0,0.9697,383
24,DiGraph with 1126 nodes and 961 edges,109,34.0,0.8627,383
21,DiGraph with 641 nodes and 518 edges,164,,1.0,384
21,DiGraph with 641 nodes and 518 edges,166,,1.0,385
21,DiGraph with 641 nodes and 518 edges,172,,1.0,386
22,DiGraph with 1763 nodes and 1537 edges,242,172.0,0.9994,386
21,DiGraph with 641 nodes and 518 edges,175,,1.0,387
22,DiGraph with 1763 nodes and 1537 edges,443,175.0,0.8453,387
21,DiGraph with 641 nodes and 518 edges,176,,1.0,388
21,DiGraph with 641 nodes and 518 edges,179,,1.0,389
21,DiGraph with 641 nodes and 518 edges,182,,1.0,390
22,DiGraph with 1763 nodes and 1537 edges,308,182.0,0.8332,390
21,DiGraph with 641 nodes and 518 edges,188,,1.0,391
21,DiGraph with 641 nodes and 518 edges,190,,1.0,392
22,DiGraph with 1763 nodes and 1537 edges,517,190.0,0.857,392
23,DiGraph with 1187 nodes and 1046 edges,73,517.0,0.8977,392
21,DiGraph with 641 nodes and 518 edges,192,,1.0,393
22,DiGraph with 1763 nodes and 1537 edges,376,192.0,0.8032,393
21,DiGraph with 641 nodes and 518 edges,193,,1.0,394
22,DiGraph with 1763 nodes and 1537 edges,103,193.0,0.9985,394
21,DiGraph with 641 nodes and 518 edges,194,,1.0,395
22,DiGraph with 1763 nodes and 1537 edges,520,194.0,0.9024,395
21,DiGraph with 641 nodes and 518 edges,195,,1.0,396
22,DiGraph with 1763 nodes and 1537 edges,493,195.0,0.917,396
21,DiGraph with 641 nodes and 518 edges,196,,1.0,397
22,DiGraph with 1763 nodes and 1537 edges,380,196.0,0.954,397
21,DiGraph with 641 nodes and 518 edges,197,,1.0,398
22,DiGraph with 1763 nodes and 1537 edges,527,197.0,0.8851,398
21,DiGraph with 641 nodes and 518 edges,199,,1.0,399
22,DiGraph with 1763 nodes and 1537 edges,433,199.0,0.8419,399
21,DiGraph with 641 nodes and 518 edges,202,,1.0,400
21,DiGraph with 641 nodes and 518 edges,207,,1.0,401
22,DiGraph with 1763 nodes and 1537 edges,203,207.0,0.8181,401
21,DiGraph with 641 nodes and 518 edges,210,,1.0,402
22,DiGraph with 1763 nodes and 1537 edges,307,210.0,0.9996,402
21,DiGraph with 641 nodes and 518 edges,213,,1.0,403
21,DiGraph with 641 nodes and 518 edges,217,,1.0,404
22,DiGraph with 1763 nodes and 1537 edges,192,217.0,0.8656,404
21,DiGraph with 641 nodes and 518 edges,218,,1.0,405
21,DiGraph with 641 nodes and 518 edges,221,,1.0,406
22,DiGraph with 1763 nodes and 1537 edges,340,221.0,0.9878,406
21,DiGraph with 641 nodes and 518 edges,223,,1.0,407
22,DiGraph with 1763 nodes and 1537 edges,370,223.0,0.9917,407
21,DiGraph with 641 nodes and 518 edges,225,,1.0,408
22,DiGraph with 1763 nodes and 1537 edges,408,225.0,0.8657,408
21,DiGraph with 641 nodes and 518 edges,226,,1.0,409
22,DiGraph with 1763 nodes and 1537 edges,359,226.0,0.937,409
21,DiGraph with 641 nodes and 518 edges,227,,1.0,410
21,DiGraph with 641 nodes and 518 edges,229,,1.0,411
22,DiGraph with 1763 nodes and 1537 edges,170,229.0,0.9863,411
21,DiGraph with 641 nodes and 518 edges,236,,1.0,412
22,DiGraph with 1763 nodes and 1537 edges,436,236.0,0.9354,412
21,DiGraph with 641 nodes and 518 edges,6,,1.0,413
22,DiGraph with 1763 nodes and 1537 edges,525,6.0,0.9095,413
21,DiGraph with 641 nodes and 518 edges,8,,1.0,414
22,DiGraph with 1763 nodes and 1537 edges,424,8.0,0.8983,414
21,DiGraph with 641 nodes and 518 edges,106,,1.0,415
22,DiGraph with 1763 nodes and 1537 edges,354,106.0,0.8823,415
21,DiGraph with 641 nodes and 518 edges,84,,1.0,416
22,DiGraph with 1763 nodes and 1537 edges,168,84.0,0.9899,416
21,DiGraph with 641 nodes and 518 edges,24,,1.0,417
22,DiGraph with 1763 nodes and 1537 edges,75,24.0,0.976,417
21,DiGraph with 641 nodes and 518 edges,123,,1.0,418
22,DiGraph with 1763 nodes and 1537 edges,299,123.0,0.9858,418
22,DiGraph with 1763 nodes and 1537 edges,0,,1.0,419
22,DiGraph with 1763 nodes and 1537 edges,2,,1.0,420
23,DiGraph with 1187 nodes and 1046 edges,7,2.0,0.5619,420
22,DiGraph with 1763 nodes and 1537 edges,5,,1.0,421
22,DiGraph with 1763 nodes and 1537 edges,6,,1.0,422
22,DiGraph with 1763 nodes and 1537 edges,7,,1.0,423
22,DiGraph with 1763 nodes and 1537 edges,8,,1.0,424
22,DiGraph with 1763 nodes and 1537 edges,11,,1.0,425
22,DiGraph with 1763 nodes and 1537 edges,12,,1.0,426
22,DiGraph with 1763 nodes and 1537 edges,13,,1.0,427
22,DiGraph with 1763 nodes and 1537 edges,14,,1.0,428
22,DiGraph with 1763 nodes and 1537 edges,15,,1.0,429
22,DiGraph with 1763 nodes and 1537 edges,16,,1.0,430
22,DiGraph with 1763 nodes and 1537 edges,17,,1.0,431
22,DiGraph with 1763 nodes and 1537 edges,19,,1.0,432
22,DiGraph with 1763 nodes and 1537 edges,21,,1.0,433
22,DiGraph with 1763 nodes and 1537 edges,22,,1.0,434
22,DiGraph with 1763 nodes and 1537 edges,23,,1.0,435
22,DiGraph with 1763 nodes and 1537 edges,26,,1.0,436
22,DiGraph with 1763 nodes and 1537 edges,27,,1.0,437
22,DiGraph with 1763 nodes and 1537 edges,28,,1.0,438
22,DiGraph with 1763 nodes and 1537 edges,29,,1.0,439
22,DiGraph with 1763 nodes and 1537 edges,30,,1.0,440
22,DiGraph with 1763 nodes and 1537 edges,31,,1.0,441
22,DiGraph with 1763 nodes and 1537 edges,32,,1.0,442
23,DiGraph with 1187 nodes and 1046 edges,43,32.0,0.622,442
24,DiGraph with 1126 nodes and 961 edges,182,43.0,0.9076,442
22,DiGraph with 1763 nodes and 1537 edges,33,,1.0,443
22,DiGraph with 1763 nodes and 1537 edges,34,,1.0,444
22,DiGraph with 1763 nodes and 1537 edges,35,,1.0,445
22,DiGraph with 1763 nodes and 1537 edges,38,,1.0,446
22,DiGraph with 1763 nodes and 1537 edges,39,,1.0,447
22,DiGraph with 1763 nodes and 1537 edges,41,,1.0,448
22,DiGraph with 1763 nodes and 1537 edges,42,,1.0,449
23,DiGraph with 1187 nodes and 1046 edges,10,42.0,0.9122,449
22,DiGraph with 1763 nodes and 1537 edges,43,,1.0,450
22,DiGraph with 1763 nodes and 1537 edges,45,,1.0,451
22,DiGraph with 1763 nodes and 1537 edges,46,,1.0,452
22,DiGraph with 1763 nodes and 1537 edges,47,,1.0,453
22,DiGraph with 1763 nodes and 1537 edges,50,,1.0,454
23,DiGraph with 1187 nodes and 1046 edges,181,50.0,0.7211,454
22,DiGraph with 1763 nodes and 1537 edges,51,,1.0,455
22,DiGraph with 1763 nodes and 1537 edges,52,,1.0,456
22,DiGraph with 1763 nodes and 1537 edges,53,,1.0,457
22,DiGraph with 1763 nodes and 1537 edges,54,,1.0,458
22,DiGraph with 1763 nodes and 1537 edges,55,,1.0,459
22,DiGraph with 1763 nodes and 1537 edges,56,,1.0,460
22,DiGraph with 1763 nodes and 1537 edges,58,,1.0,461
22,DiGraph with 1763 nodes and 1537 edges,59,,1.0,462
23,DiGraph with 1187 nodes and 1046 edges,61,59.0,0.89,462
24,DiGraph with 1126 nodes and 961 edges,198,61.0,0.9001,462
22,DiGraph with 1763 nodes and 1537 edges,60,,1.0,463
22,DiGraph with 1763 nodes and 1537 edges,61,,1.0,464
22,DiGraph with 1763 nodes and 1537 edges,62,,1.0,465
22,DiGraph with 1763 nodes and 1537 edges,63,,1.0,466
22,DiGraph with 1763 nodes and 1537 edges,64,,1.0,467
22,DiGraph with 1763 nodes and 1537 edges,65,,1.0,468
22,DiGraph with 1763 nodes and 1537 edges,66,,1.0,469
22,DiGraph with 1763 nodes and 1537 edges,67,,1.0,470
22,DiGraph with 1763 nodes and 1537 edges,69,,1.0,471
22,DiGraph with 1763 nodes and 1537 edges,70,,1.0,472
22,DiGraph with 1763 nodes and 1537 edges,71,,1.0,473
22,DiGraph with 1763 nodes and 1537 edges,72,,1.0,474
22,DiGraph with 1763 nodes and 1537 edges,73,,1.0,475
22,DiGraph with 1763 nodes and 1537 edges,76,,1.0,476
22,DiGraph with 1763 nodes and 1537 edges,77,,1.0,477
23,DiGraph with 1187 nodes and 1046 edges,56,77.0,0.7906,477
22,DiGraph with 1763 nodes and 1537 edges,78,,1.0,478
22,DiGraph with 1763 nodes and 1537 edges,79,,1.0,479
22,DiGraph with 1763 nodes and 1537 edges,80,,1.0,480
22,DiGraph with 1763 nodes and 1537 edges,81,,1.0,481
22,DiGraph with 1763 nodes and 1537 edges,82,,1.0,482
22,DiGraph with 1763 nodes and 1537 edges,83,,1.0,483
22,DiGraph with 1763 nodes and 1537 edges,85,,1.0,484
22,DiGraph with 1763 nodes and 1537 edges,86,,1.0,485
